college_name,student_name,mentor_name,department_name,academic_year,total_students,total_departments,total_faculty,year_of_study,student_count,faculty_count,student_faculty_ratio,avg_attendance_pct,hackathon_id,hackathon_name,hackathon_type,conducting_body,participation_level,mode,total_registered_students,total_participants,teams_formed,departments_participated,female_participation_pct,projects_submitted,projects_completed,shortlisted_projects,prizes_won_count,prize_level,problem_solving_score_avg,students_placed,placement_percentage,avg_package_lpa,highest_package_lpa,companies_visited,hackathon_to_placement_ratio,internships_offered,ppo_offers,lab_utilization_pct,software_tools_used,budget_allocated,budget_utilized,cost_per_student,repeat_participants_pct,dropout_from_hackathon,attendance_vs_participation_corr,academic_vs_hackathon_corr,month,quarter,year,yoy_participation_growth,yoy_placement_growth
Anna University,Ishani Patel 883,Dr. Sunita M.,CHEMICAL,2023-24,2906,9,240,2,86,14,16.1,76,H003,Industry CodeFest,External,Company,State,Online,49,30,7,6,12,11,8,2,3,College,79,81,45,8.7,14.5,26,0.45,19,7,76,Cloud,50,21,23353,47,4,0.57,0.51,July,Q3,2025,12,14
Amrita Vishwa Vidyapeetham,Meera Kumar 335,Prof. Aruna D.,CSE,2022-23,2606,9,221,2,114,10,14.7,89,H001,Smart India Hackathon,External,Government,National,Online,75,38,11,6,33,13,11,1,0,College,81,171,89,8.7,13.6,33,0.71,38,11,70,AutoCAD,33,55,21292,25,6,0.5,0.7,January,Q1,2023,11,18
Anna University,Meera Reddy 896,Prof. Aruna D.,ECE,2024-25,3202,9,218,1,181,9,15.3,74,H003,Industry CodeFest,External,Company,State,Online,36,39,16,7,26,20,13,5,3,College,89,141,44,6.4,16.9,40,0.55,6,5,93,AutoCAD,28,36,15744,23,9,0.75,0.56,January,Q2,2025,21,16
Vellore Institute of Technology (VIT),Sriya Reddy 508,Prof. Lakshmi S.,AI&DS,2024-25,3056,9,206,4,107,6,11.6,76,H002,College Innovation Hackathon,Internal,College,College,Online,85,73,19,8,43,11,11,3,2,National,77,60,50,4.8,17.1,19,0.32,14,8,63,AutoCAD,23,33,18440,54,6,0.45,0.54,July,Q3,2022,22,12
Thiagarajar College of Engineering,Ananya Reddy 392,Dr. Amit V.,EEE,2023-24,3164,9,187,4,220,6,18.2,77,H003,Industry CodeFest,External,Company,State,Offline,42,47,3,7,16,25,14,10,2,State,86,143,54,5.4,11.5,30,0.7,30,4,83,MATLAB,47,41,17430,50,5,0.65,0.58,March,Q2,2025,10,13
Amrita Vishwa Vidyapeetham,Vikram Iyer 958,Prof. Venkatesh R.,CSE,2022-23,3307,9,257,3,108,7,11.4,83,H001,Smart India Hackathon,External,Government,National,Online,78,97,15,3,43,7,2,9,0,,72,35,47,8.5,21.0,30,0.77,13,7,60,AutoCAD,29,58,24824,20,3,0.83,0.44,July,Q1,2023,9,19
Coimbatore Institute of Technology (CIT),Abhishek Singh 278,Dr. Kavita J.,CIVIL,2023-24,3480,9,199,2,122,6,15.4,78,H002,College Innovation Hackathon,Internal,College,College,Online,22,20,6,7,28,6,18,6,1,College,89,87,41,4.9,14.6,21,0.63,19,12,62,Cloud,30,25,18678,26,12,0.59,0.65,January,Q3,2022,6,8
Anna University,Divya Singh 240,Dr. Rajesh K.,EEE,2023-24,3728,9,203,4,168,8,18.9,91,H003,Industry CodeFest,External,Company,State,Offline,99,51,14,3,27,18,23,5,2,College,85,30,95,9.1,10.5,30,0.37,14,12,83,Cloud,24,25,24467,47,11,0.51,0.53,March,Q2,2025,16,14
Thiagarajar College of Engineering,Vikram Gupta 650,Prof. Aruna D.,CIVIL,2024-25,3347,9,257,4,145,8,18.0,90,H002,College Innovation Hackathon,Internal,College,College,Online,69,68,20,6,44,20,17,8,1,,62,178,85,6.0,17.8,32,0.71,19,2,70,AutoCAD,20,31,15281,43,18,0.83,0.77,January,Q3,2024,9,13
Anna University,Sanjay Gupta 486,Dr. Sunita M.,CIVIL,2023-24,2996,9,206,2,117,6,17.5,73,H003,Industry CodeFest,External,Company,State,Online,68,18,25,6,33,4,5,10,0,,86,182,95,4.4,10.5,14,0.34,9,0,91,Cloud,29,29,22696,28,12,0.64,0.69,September,Q1,2024,8,8
SASTRA Deemed University,Rohan Iyer 907,Dr. Sunita M.,CSE,2022-23,3530,9,200,1,62,12,18.3,91,H003,Industry CodeFest,External,Company,State,Offline,90,48,21,7,29,25,9,6,1,National,62,163,64,9.4,10.1,16,0.5,8,7,80,MATLAB,55,56,16264,49,18,0.58,0.66,September,Q2,2022,16,17
SRM Institute of Science and Technology,Divya Iyer 274,Dr. Amit V.,MECH,2022-23,2659,9,226,3,214,11,10.3,79,H001,Smart India Hackathon,External,Government,National,Online,89,28,5,4,10,12,8,8,1,College,67,98,45,9.4,17.6,28,0.79,35,1,58,AutoCAD,25,37,15138,42,12,0.83,0.6,July,Q4,2024,9,7
Thiagarajar College of Engineering,Deepak Patel 693,Prof. Aruna D.,PETROLEUM,2024-25,2706,9,244,4,98,6,15.9,82,H003,Industry CodeFest,External,Company,State,Offline,95,19,12,4,19,24,16,1,0,State,88,85,91,7.6,10.4,32,0.38,37,10,83,MATLAB,41,36,20903,47,4,0.81,0.71,September,Q2,2023,24,6
IIT Madras,Sanjay Nair 115,Prof. Lakshmi S.,EEE,2022-23,2792,9,219,4,200,7,15.0,84,H001,Smart India Hackathon,External,Government,National,Offline,41,52,8,3,27,21,13,5,0,College,65,147,56,9.4,24.6,34,0.74,13,3,91,Cloud,22,41,19696,45,16,0.79,0.77,March,Q4,2024,21,14
IIT Madras,Pooja Verma 568,Dr. Meenakshi P.,PETROLEUM,2023-24,3536,9,237,1,127,6,16.2,90,H003,Industry CodeFest,External,Company,State,Online,114,46,25,9,45,3,6,1,2,,65,175,65,8.6,11.8,37,0.53,10,11,84,Cloud,54,47,16787,25,8,0.74,0.77,September,Q4,2023,17,14
Anna University,Rohan Nair 876,Prof. Lakshmi S.,ECE,2024-25,3495,9,207,3,181,7,12.8,71,H002,College Innovation Hackathon,Internal,College,College,Online,80,33,23,4,30,21,3,9,3,College,89,122,90,6.1,16.0,11,0.41,6,13,72,AutoCAD,60,29,16369,29,5,0.56,0.43,September,Q4,2023,13,9
Amrita Vishwa Vidyapeetham,Aditi Iyer 414,Dr. Meenakshi P.,CSE,2023-24,3108,9,201,1,110,11,19.4,85,H002,College Innovation Hackathon,Internal,College,College,Offline,88,35,25,6,32,25,20,6,0,State,62,200,77,7.2,13.5,36,0.77,25,0,64,Cloud,29,49,20184,27,16,0.56,0.69,September,Q2,2025,25,7
SASTRA Deemed University,Rahul Das 820,Dr. Kavita J.,CSE,2022-23,3360,9,249,2,102,15,13.8,81,H003,Industry CodeFest,External,Company,State,Online,44,88,3,5,33,3,11,4,0,,80,146,66,6.0,14.0,27,0.51,26,3,66,Cloud,47,41,17898,55,8,0.67,0.55,September,Q3,2022,7,7
SRM Institute of Science and Technology,Priya Das 745,Prof. Lakshmi S.,ECE,2023-24,2712,9,243,1,219,14,11.0,84,H003,Industry CodeFest,External,Company,State,Online,105,52,16,4,24,17,19,6,0,State,87,150,47,5.6,21.5,24,0.51,30,0,78,MATLAB,52,36,19384,36,12,0.79,0.72,September,Q2,2022,18,5
Vellore Institute of Technology (VIT),Arjun Reddy 136,Prof. Venkatesh R.,CSE,2023-24,3562,9,256,1,141,11,11.7,88,H001,Smart India Hackathon,External,Government,National,Offline,50,86,15,4,35,4,20,6,1,,83,74,65,8.9,16.8,23,0.42,13,3,95,Embedded,45,58,19263,55,8,0.83,0.48,January,Q1,2025,5,8
SASTRA Deemed University,Aditi Gupta 955,Dr. Amit V.,CSE,2023-24,2551,9,196,1,176,11,11.9,90,H003,Industry CodeFest,External,Company,State,Online,58,39,20,9,25,15,10,10,0,National,62,66,80,3.6,24.7,37,0.35,34,3,61,MATLAB,38,34,17959,25,5,0.65,0.54,March,Q4,2022,20,4
Kumaraguru College of Technology,Pooja Gupta 429,Dr. Rajesh K.,PHARMACY,2024-25,2656,9,206,1,167,12,18.9,90,H002,College Innovation Hackathon,Internal,College,College,Offline,40,38,12,3,21,24,20,10,0,College,70,118,70,9.5,18.2,10,0.38,21,3,67,Embedded,21,52,15377,53,7,0.54,0.55,March,Q1,2024,9,11
Thiagarajar College of Engineering,Ananya Reddy 930,Dr. Suresh T.,ECE,2023-24,3486,9,205,2,83,11,17.1,90,H002,College Innovation Hackathon,Internal,College,College,Offline,79,78,16,7,35,9,10,2,1,National,90,130,46,7.0,21.0,19,0.38,18,15,82,Cloud,47,56,27240,37,13,0.7,0.64,September,Q2,2024,16,6
SRM Institute of Science and Technology,Nisha Reddy 412,Dr. Suresh T.,CIVIL,2024-25,3018,9,255,2,164,10,16.0,90,H001,Smart India Hackathon,External,Government,National,Offline,70,18,6,4,30,16,7,5,1,College,66,198,63,5.7,21.3,13,0.3,5,10,68,Cloud,56,38,18811,55,5,0.6,0.64,March,Q1,2024,24,6
Coimbatore Institute of Technology (CIT),Priya Iyer 216,Dr. Suresh T.,PHARMACY,2023-24,2905,9,205,4,72,13,15.0,78,H002,College Innovation Hackathon,Internal,College,College,Offline,35,30,17,4,30,21,14,3,0,National,60,194,90,8.6,24.8,39,0.53,13,12,57,Embedded,53,20,20527,21,5,0.64,0.73,September,Q3,2024,15,15
SRM Institute of Science and Technology,Pooja Sharma 919,Dr. Sunita M.,PHARMACY,2023-24,3511,9,258,1,72,12,13.0,84,H003,Industry CodeFest,External,Company,State,Offline,102,30,14,7,16,3,9,0,0,State,63,112,95,7.6,15.4,15,0.34,28,0,58,AutoCAD,22,25,15786,39,5,0.56,0.68,September,Q3,2023,9,18
PSG College of Technology,Karthik Singh 858,Prof. Lakshmi S.,ECE,2022-23,3696,9,232,2,174,7,15.2,77,H002,College Innovation Hackathon,Internal,College,College,Offline,104,77,11,5,40,10,4,4,2,College,71,172,93,8.7,19.2,33,0.73,9,2,86,Python,33,18,25985,33,17,0.78,0.48,January,Q3,2023,23,20
IIT Madras,Ananya Singh 431,Prof. Ramesh B.,AI&DS,2024-25,3429,9,199,3,189,7,19.1,77,H002,College Innovation Hackathon,Internal,College,College,Offline,69,72,22,7,22,15,8,1,2,,65,108,95,7.0,9.7,24,0.74,12,7,56,Cloud,31,35,15468,50,17,0.59,0.45,January,Q3,2025,11,8
Coimbatore Institute of Technology (CIT),Abhishek Patel 858,Dr. Amit V.,PHARMACY,2023-24,2608,9,236,4,129,11,11.0,90,H003,Industry CodeFest,External,Company,State,Offline,113,69,9,5,22,15,7,9,2,,76,140,46,7.6,19.0,40,0.36,12,1,57,Embedded,37,33,16078,54,6,0.56,0.75,September,Q4,2025,8,11
Vellore Institute of Technology (VIT),Karthik Gupta 251,Dr. Suresh T.,CHEMICAL,2022-23,2916,9,224,4,133,15,12.9,70,H001,Smart India Hackathon,External,Government,National,Online,43,79,25,7,40,12,9,2,2,College,65,77,61,8.9,10.4,10,0.63,32,10,56,MATLAB,36,22,17797,20,14,0.84,0.63,September,Q2,2025,8,5
Thiagarajar College of Engineering,Sneha Verma 234,Dr. Suresh T.,CSE,2024-25,3530,9,201,3,97,7,11.0,95,H001,Smart India Hackathon,External,Government,National,Offline,77,77,14,7,26,24,17,4,2,,60,120,59,7.8,23.2,34,0.63,35,3,72,Embedded,60,19,17423,46,10,0.71,0.46,September,Q1,2023,23,17
PSG College of Technology,Arjun Nair 109,Dr. Meenakshi P.,PETROLEUM,2022-23,2896,9,228,2,87,10,18.8,91,H003,Industry CodeFest,External,Company,State,Offline,87,37,11,8,32,13,14,9,3,National,69,78,42,7.0,19.9,36,0.61,32,14,91,AutoCAD,38,25,15136,51,7,0.64,0.46,July,Q2,2024,20,13
Amrita Vishwa Vidyapeetham,Aditi Verma 167,Dr. Rajesh K.,ECE,2023-24,2583,9,207,3,132,15,11.2,85,H001,Smart India Hackathon,External,Government,National,Offline,20,70,14,8,10,4,10,2,2,National,85,158,82,9.3,17.5,40,0.34,22,4,67,Cloud,57,23,19764,34,4,0.64,0.54,September,Q4,2025,8,12
SRM Institute of Science and Technology,Ishani Das 833,Dr. Amit V.,CHEMICAL,2024-25,3392,9,221,3,208,8,16.8,76,H001,Smart India Hackathon,External,Government,National,Offline,37,68,20,4,29,12,4,4,3,State,72,141,46,4.3,15.5,20,0.55,27,14,77,Cloud,49,44,21721,49,3,0.82,0.41,September,Q1,2023,24,13
Kumaraguru College of Technology,Pranav Nair 575,Prof. Venkatesh R.,MECH,2024-25,3612,9,252,3,135,6,17.6,82,H001,Smart India Hackathon,External,Government,National,Online,71,100,3,6,43,17,3,1,0,National,86,196,46,5.5,9.7,19,0.58,26,1,62,Embedded,52,21,26494,33,7,0.67,0.79,March,Q2,2023,14,13
Amrita Vishwa Vidyapeetham,Vikram Gupta 834,Dr. Suresh T.,CSE,2024-25,2911,9,194,4,77,6,11.5,73,H003,Industry CodeFest,External,Company,State,Online,51,41,6,6,11,19,16,6,0,College,69,133,70,9.4,21.9,36,0.72,21,14,94,Python,47,27,25423,21,8,0.51,0.7,March,Q2,2023,20,19
Coimbatore Institute of Technology (CIT),Nisha Gupta 614,Prof. Lakshmi S.,CHEMICAL,2022-23,3705,9,243,3,154,10,13.9,92,H003,Industry CodeFest,External,Company,State,Online,79,68,16,4,11,12,16,1,3,College,78,107,42,7.4,23.2,29,0.52,27,4,84,Cloud,37,18,17593,42,9,0.59,0.68,September,Q1,2023,25,8
Kumaraguru College of Technology,Vikram Kumar 363,Dr. Amit V.,PETROLEUM,2024-25,2786,9,215,3,137,12,10.7,90,H002,College Innovation Hackathon,Internal,College,College,Offline,68,75,22,8,21,21,18,10,2,State,82,112,77,9.2,13.9,29,0.71,9,1,56,MATLAB,34,24,25899,26,18,0.82,0.59,March,Q2,2022,10,16
PSG College of Technology,Divya Verma 889,Dr. Kavita J.,PHARMACY,2024-25,3012,9,194,1,69,7,14.4,81,H001,Smart India Hackathon,External,Government,National,Online,42,56,6,8,38,15,6,10,1,State,68,155,68,7.6,11.8,33,0.38,38,6,60,Embedded,21,58,25955,26,9,0.46,0.46,January,Q3,2025,23,6
Thiagarajar College of Engineering,Ishani Sharma 742,Dr. Suresh T.,PETROLEUM,2024-25,3991,9,247,2,187,9,18.3,88,H003,Industry CodeFest,External,Company,State,Offline,84,60,14,7,45,7,4,7,3,,87,48,76,4.0,21.3,19,0.35,36,7,58,Embedded,54,39,15369,34,12,0.82,0.5,July,Q1,2023,14,6
SASTRA Deemed University,Ishani Das 858,Dr. Meenakshi P.,AI&DS,2024-25,3524,9,219,2,162,15,10.6,92,H003,Industry CodeFest,External,Company,State,Online,94,75,11,8,11,4,12,6,2,State,70,45,48,4.7,21.9,20,0.76,8,7,86,Python,56,57,26519,22,14,0.84,0.78,January,Q4,2023,13,5
PSG College of Technology,Rahul Patel 727,Dr. Amit V.,ECE,2024-25,2961,9,224,1,170,13,13.0,77,H002,College Innovation Hackathon,Internal,College,College,Online,27,18,9,7,34,24,23,0,3,College,72,126,84,4.3,19.9,27,0.37,33,3,94,AutoCAD,42,30,20621,47,4,0.55,0.44,January,Q2,2025,22,5
PSG College of Technology,Pooja Patel 935,Dr. Rajesh K.,CSE,2022-23,2616,9,196,2,172,8,12.8,80,H001,Smart India Hackathon,External,Government,National,Offline,97,98,10,5,18,22,14,7,0,College,62,94,74,4.7,20.0,36,0.48,19,14,74,AutoCAD,55,36,25709,35,11,0.58,0.62,January,Q1,2024,18,19
SRM Institute of Science and Technology,Sriya Nair 662,Dr. Suresh T.,CHEMICAL,2022-23,3566,9,209,1,138,14,12.1,81,H001,Smart India Hackathon,External,Government,National,Online,24,45,25,6,39,6,2,7,0,National,68,180,64,5.3,24.4,11,0.44,29,15,56,Cloud,44,46,15727,34,9,0.6,0.66,January,Q3,2022,22,15
PSG College of Technology,Divya Kumar 829,Dr. Rajesh K.,CSE,2024-25,2943,9,183,3,147,15,14.3,83,H002,College Innovation Hackathon,Internal,College,College,Online,33,85,15,8,28,20,16,6,2,State,90,127,69,8.0,23.7,14,0.75,22,8,60,MATLAB,54,36,20530,45,4,0.7,0.54,July,Q1,2022,14,14
Coimbatore Institute of Technology (CIT),Rohan Kumar 237,Prof. Aruna D.,CHEMICAL,2023-24,2535,9,236,2,62,13,10.4,81,H002,College Innovation Hackathon,Internal,College,College,Offline,101,86,9,6,13,21,4,4,2,College,74,76,56,8.1,12.7,37,0.55,19,5,64,Embedded,23,32,16875,22,8,0.72,0.74,July,Q1,2023,6,12
Kumaraguru College of Technology,Arjun Gupta 110,Dr. Rajesh K.,CHEMICAL,2023-24,3606,9,185,1,213,9,13.5,72,H003,Industry CodeFest,External,Company,State,Offline,34,80,5,4,23,13,20,5,3,College,80,139,58,4.4,13.6,35,0.48,31,11,85,AutoCAD,59,19,17626,43,4,0.57,0.46,January,Q1,2023,15,20
Vellore Institute of Technology (VIT),Arjun Reddy 599,Dr. Rajesh K.,AI&DS,2023-24,3693,9,184,3,98,12,17.6,90,H001,Smart India Hackathon,External,Government,National,Online,29,43,21,7,45,16,19,1,0,,81,164,73,6.1,12.6,36,0.59,20,10,70,AutoCAD,34,47,20157,27,10,0.63,0.78,September,Q3,2022,16,20
SASTRA Deemed University,Sriya Nair 870,Dr. Amit V.,ECE,2023-24,3739,9,209,3,174,12,12.3,74,H003,Industry CodeFest,External,Company,State,Online,119,67,24,7,18,22,10,4,2,National,63,50,66,6.0,24.7,28,0.55,17,5,84,Python,30,25,21858,36,18,0.75,0.45,January,Q4,2022,10,6
Kumaraguru College of Technology,Sriya Verma 366,Dr. Suresh T.,EEE,2023-24,2761,9,231,4,202,9,17.1,73,H002,College Innovation Hackathon,Internal,College,College,Offline,63,90,22,7,16,4,4,5,3,,80,145,87,8.5,12.9,25,0.65,16,2,64,Python,57,55,21060,49,15,0.58,0.47,July,Q1,2023,14,19
Anna University,Meera Das 140,Prof. Lakshmi S.,PETROLEUM,2024-25,3575,9,254,1,190,12,12.9,82,H003,Industry CodeFest,External,Company,State,Offline,116,37,7,3,23,16,18,4,2,College,71,102,50,4.2,12.7,24,0.41,15,9,71,Embedded,26,32,25918,37,7,0.49,0.62,March,Q1,2022,22,10
Vellore Institute of Technology (VIT),Rohan Nair 469,Dr. Rajesh K.,CSE,2023-24,2916,9,216,4,206,12,17.3,86,H001,Smart India Hackathon,External,Government,National,Online,78,52,6,8,17,17,15,7,2,College,87,65,57,7.9,10.0,21,0.7,19,2,75,MATLAB,52,39,19523,49,5,0.73,0.53,January,Q4,2022,21,14
SASTRA Deemed University,Sneha Iyer 873,Dr. Meenakshi P.,MECH,2024-25,2516,9,211,1,95,15,13.8,77,H003,Industry CodeFest,External,Company,State,Online,53,75,7,6,21,18,11,2,1,College,90,162,94,7.8,11.6,23,0.33,40,6,66,Python,46,34,25049,44,10,0.71,0.59,March,Q3,2023,14,19
SASTRA Deemed University,Sanjay Reddy 718,Dr. Rajesh K.,CIVIL,2023-24,3612,9,241,4,135,7,12.2,94,H003,Industry CodeFest,External,Company,State,Offline,73,72,13,4,37,6,7,7,2,College,71,131,85,4.3,23.0,36,0.7,36,13,70,Python,38,35,23314,33,16,0.47,0.71,July,Q3,2025,17,18
Coimbatore Institute of Technology (CIT),Sanjay Verma 305,Prof. Aruna D.,PHARMACY,2022-23,3049,9,242,4,116,11,16.4,71,H002,College Innovation Hackathon,Internal,College,College,Offline,77,67,10,7,20,20,8,10,0,National,64,184,74,3.6,20.3,35,0.49,26,11,90,Python,23,51,18448,43,9,0.84,0.74,September,Q2,2024,10,15
Kumaraguru College of Technology,Arjun Singh 766,Dr. Meenakshi P.,PETROLEUM,2024-25,3009,9,181,4,69,6,17.6,86,H001,Smart India Hackathon,External,Government,National,Online,84,65,18,3,20,12,11,0,1,State,61,99,87,4.2,21.3,30,0.5,22,2,59,Python,52,44,15330,20,7,0.49,0.64,September,Q2,2024,15,17
Amrita Vishwa Vidyapeetham,Rahul Singh 320,Dr. Suresh T.,AI&DS,2023-24,3439,9,205,1,85,10,19.7,88,H002,College Innovation Hackathon,Internal,College,College,Offline,68,52,16,3,24,16,19,4,3,National,89,166,72,5.0,8.3,25,0.66,28,3,83,MATLAB,56,19,21510,34,17,0.6,0.63,July,Q3,2023,25,6
Kumaraguru College of Technology,Pranav Verma 860,Prof. Ramesh B.,ECE,2023-24,3715,9,211,2,81,8,14.0,85,H001,Smart India Hackathon,External,Government,National,Online,27,78,11,6,29,13,6,0,2,,87,31,57,7.6,20.8,35,0.54,36,10,70,AutoCAD,49,48,23428,55,5,0.82,0.57,January,Q4,2023,5,9
Anna University,Pooja Gupta 507,Dr. Suresh T.,AI&DS,2022-23,3396,9,194,1,69,12,15.0,90,H001,Smart India Hackathon,External,Government,National,Offline,37,85,16,6,10,12,5,6,2,National,76,112,79,8.8,17.6,15,0.37,38,6,94,AutoCAD,53,56,19116,50,17,0.53,0.53,March,Q2,2025,5,14
SRM Institute of Science and Technology,Sanjay Reddy 496,Prof. Ramesh B.,PHARMACY,2023-24,2637,9,180,2,139,9,12.0,73,H001,Smart India Hackathon,External,Government,National,Offline,62,27,4,7,39,22,7,1,2,State,71,190,40,9.1,12.7,36,0.76,32,9,78,Embedded,45,34,24193,54,9,0.48,0.46,March,Q3,2023,13,7
SASTRA Deemed University,Manoj Reddy 486,Dr. Amit V.,EEE,2024-25,3712,9,257,4,130,15,16.7,85,H002,College Innovation Hackathon,Internal,College,College,Online,41,15,10,4,15,22,6,2,1,,87,30,60,4.0,24.5,14,0.56,33,13,85,AutoCAD,39,50,27451,27,10,0.67,0.55,September,Q4,2024,14,20
SRM Institute of Science and Technology,Rohan Verma 435,Dr. Sunita M.,PETROLEUM,2022-23,2840,9,215,1,96,12,15.6,85,H003,Industry CodeFest,External,Company,State,Offline,107,30,20,6,32,8,2,5,3,National,83,138,53,7.2,22.9,39,0.77,29,11,66,Python,32,46,20914,53,9,0.45,0.52,January,Q3,2024,21,4
PSG College of Technology,Sneha Sharma 916,Prof. Venkatesh R.,CHEMICAL,2023-24,3814,9,241,1,161,6,20.0,92,H003,Industry CodeFest,External,Company,State,Offline,55,95,4,7,11,25,17,9,3,,65,151,87,8.7,20.8,35,0.35,28,0,94,MATLAB,31,26,16356,46,6,0.47,0.65,January,Q3,2022,22,12
SRM Institute of Science and Technology,Rohan Gupta 268,Prof. Ramesh B.,MECH,2024-25,3148,9,201,1,210,11,15.2,91,H002,College Innovation Hackathon,Internal,College,College,Offline,73,100,24,3,14,9,18,2,2,College,65,143,42,5.2,11.4,26,0.5,5,9,72,Embedded,42,25,20594,49,5,0.68,0.59,January,Q1,2023,7,9
IIT Madras,Priya Kumar 276,Prof. Aruna D.,PETROLEUM,2022-23,2945,9,227,1,177,7,18.8,77,H001,Smart India Hackathon,External,Government,National,Offline,107,97,9,8,18,12,3,6,2,State,68,65,76,5.4,11.8,16,0.44,17,5,73,AutoCAD,48,34,16514,51,14,0.68,0.54,September,Q2,2022,23,16
PSG College of Technology,Aditi Reddy 750,Prof. Lakshmi S.,EEE,2023-24,3210,9,216,2,113,11,17.0,86,H003,Industry CodeFest,External,Company,State,Offline,31,80,9,5,23,17,10,0,0,State,75,65,69,7.0,14.3,22,0.63,7,10,61,AutoCAD,20,28,21904,50,13,0.58,0.76,March,Q3,2024,10,18
Vellore Institute of Technology (VIT),Rohan Sharma 223,Dr. Kavita J.,AI&DS,2023-24,3762,9,238,2,211,15,16.9,93,H001,Smart India Hackathon,External,Government,National,Offline,80,46,11,8,33,22,12,7,3,National,61,89,88,9.1,23.8,13,0.51,22,12,92,Python,30,50,17726,39,9,0.83,0.63,March,Q2,2024,6,6
Anna University,Sneha Nair 447,Dr. Amit V.,CHEMICAL,2023-24,3310,9,201,2,177,6,16.6,76,H002,College Innovation Hackathon,Internal,College,College,Online,58,54,5,4,25,9,15,1,1,State,81,172,94,8.2,8.1,15,0.47,35,12,68,Cloud,44,47,26570,35,6,0.61,0.53,March,Q4,2024,14,17
IIT Madras,Rahul Singh 671,Prof. Ramesh B.,PHARMACY,2023-24,3871,9,255,1,66,9,18.9,75,H002,College Innovation Hackathon,Internal,College,College,Online,67,61,13,7,10,22,21,6,0,State,64,157,52,3.8,13.1,12,0.47,16,13,64,AutoCAD,39,42,26063,50,4,0.55,0.78,March,Q2,2025,21,7
Kumaraguru College of Technology,Sriya Iyer 466,Dr. Meenakshi P.,CIVIL,2024-25,4000,9,192,1,163,6,11.6,74,H002,College Innovation Hackathon,Internal,College,College,Offline,107,73,3,6,35,16,3,4,3,National,83,192,47,7.1,21.6,24,0.55,35,10,89,AutoCAD,27,29,21947,54,15,0.8,0.43,January,Q3,2024,11,20
SRM Institute of Science and Technology,Priya Gupta 841,Dr. Suresh T.,CIVIL,2023-24,3076,9,185,4,91,13,14.6,71,H001,Smart India Hackathon,External,Government,National,Offline,52,69,13,8,28,3,19,4,1,National,71,136,41,6.2,13.1,11,0.6,27,1,89,Cloud,35,29,16377,54,6,0.5,0.46,September,Q4,2024,16,18
IIT Madras,Pranav Gupta 983,Dr. Kavita J.,MECH,2022-23,3168,9,227,4,69,8,16.1,93,H001,Smart India Hackathon,External,Government,National,Online,68,80,5,5,29,16,14,0,1,National,83,197,87,8.8,22.2,23,0.78,17,8,74,Embedded,52,52,18993,23,14,0.68,0.49,September,Q3,2023,13,20
SRM Institute of Science and Technology,Rohan Sharma 481,Prof. Venkatesh R.,CSE,2024-25,3083,9,214,4,61,12,12.1,95,H001,Smart India Hackathon,External,Government,National,Offline,104,31,11,5,39,22,22,5,0,State,67,34,85,5.4,9.1,19,0.66,34,13,95,Embedded,41,52,21374,50,3,0.59,0.53,September,Q2,2025,20,10
SASTRA Deemed University,Ishani Kumar 999,Dr. Meenakshi P.,AI&DS,2023-24,3023,9,231,2,68,15,19.7,90,H003,Industry CodeFest,External,Company,State,Offline,91,59,5,4,43,14,11,4,2,,81,149,41,4.4,17.9,29,0.48,32,13,56,AutoCAD,55,49,18845,44,7,0.6,0.78,January,Q1,2025,11,10
PSG College of Technology,Sanjay Verma 869,Dr. Sunita M.,ECE,2022-23,3321,9,250,3,164,11,17.5,83,H001,Smart India Hackathon,External,Government,National,Offline,60,61,23,3,30,19,19,8,3,State,87,133,71,8.0,12.9,39,0.52,16,12,73,Python,54,39,27499,49,8,0.72,0.44,September,Q4,2025,11,4
SRM Institute of Science and Technology,Sneha Gupta 276,Prof. Venkatesh R.,MECH,2024-25,3530,9,190,2,213,15,17.3,70,H003,Industry CodeFest,External,Company,State,Offline,98,46,8,7,40,24,4,5,0,,77,160,95,4.7,23.5,24,0.48,20,5,85,MATLAB,40,26,19800,24,3,0.53,0.58,March,Q4,2023,10,18
Thiagarajar College of Engineering,Divya Gupta 612,Dr. Sunita M.,AI&DS,2023-24,2826,9,211,1,178,7,10.1,71,H003,Industry CodeFest,External,Company,State,Offline,86,75,15,3,36,11,19,1,0,,75,45,58,8.4,22.1,33,0.68,28,12,87,Cloud,47,25,16697,29,11,0.75,0.63,January,Q2,2024,18,14
Vellore Institute of Technology (VIT),Sriya Gupta 315,Dr. Rajesh K.,EEE,2022-23,3041,9,192,2,144,7,14.6,92,H002,College Innovation Hackathon,Internal,College,College,Offline,116,46,11,5,28,25,16,5,3,National,78,100,78,3.7,10.4,26,0.44,19,11,91,AutoCAD,38,37,26728,30,12,0.64,0.58,July,Q2,2023,9,13
Thiagarajar College of Engineering,Nisha Kumar 676,Dr. Rajesh K.,PHARMACY,2022-23,2557,9,207,3,209,10,11.5,70,H003,Industry CodeFest,External,Company,State,Offline,66,80,19,6,40,22,7,5,1,National,76,125,64,8.7,16.2,15,0.74,35,5,85,Cloud,20,22,20609,34,12,0.53,0.46,January,Q2,2024,20,18
